city,min_temp,max_tmp,humidity
Faridabad,38,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',47.88
Faridabad,26,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',53.4
Delhi,43,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',36.11
Gurgaon,22,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',37.88
Faridabad,40,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',22.95
Delhi,41,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',57.05
Noida,38,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',24.94
Faridabad,22,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',69.74
Delhi,40,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',67.91
Gurgaon,30,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',28.38
Faridabad,39,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',35.64
Gurgaon,31,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',43.08
New Delhi,32,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',33.3
Delhi,29,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',69.39
Gurgaon,33,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',25.94
Faridabad,27,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',87.34
Noida,33,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',61.71
New Delhi,25,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',70.3
Faridabad,26,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',50.76
Noida,42,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',66.27
Gurgaon,33,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',66.58
Noida,32,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',54.23
Delhi,43,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',39.82
Gurgaon,25,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',37.06
Gurgaon,28,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',50.3
Faridabad,28,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',75.11
New Delhi,34,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',36.24
Gurgaon,20,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',26.62
Delhi,22,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',88.77
New Delhi,43,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',41.37
Gurgaon,44,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',39.81
New Delhi,35,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',72.15
New Delhi,32,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',54.57
Gurgaon,25,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',42.14
Delhi,37,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',72.64
Delhi,29,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',73.21
Delhi,35,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',57.75
Faridabad,23,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',40.14
Noida,21,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',47.89
New Delhi,24,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',88.81
Delhi,23,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',43.15
Delhi,38,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',41.41
Delhi,36,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',57.75
Noida,36,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',26.95
Delhi,23,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',39.03
New Delhi,40,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',22.39
Faridabad,22,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',81.2
Gurgaon,23,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',36.47
Delhi,35,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',89.42
Gurgaon,31,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',26.59
Noida,42,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',61.97
Noida,28,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',82.6
Faridabad,27,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',78.95
Noida,27,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',32.17
New Delhi,28,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',48.31
Delhi,32,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',81.34
New Delhi,27,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',89.57
Gurgaon,28,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',76.79
Faridabad,25,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',89.64
New Delhi,41,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',33.76
Faridabad,29,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',79.8
Noida,34,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',55.45
Faridabad,40,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',63.65
Gurgaon,28,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',59.36
Faridabad,28,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',48.75
Noida,22,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',28.67
Noida,27,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',79.15
New Delhi,21,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',59.86
Gurgaon,29,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',62.33
New Delhi,36,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',87.57
New Delhi,39,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',56.49
Gurgaon,36,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',48.38
Noida,40,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',34.08
Gurgaon,25,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',52.53
Noida,32,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',87.86
Faridabad,22,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',61.2
Gurgaon,30,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',85.01
Noida,20,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',25.35
New Delhi,20,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',69.31
Noida,39,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',33.24
New Delhi,25,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',61.87
Gurgaon,45,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',63.64
Noida,38,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',29.93
New Delhi,31,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',69.49
Faridabad,23,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',25.79
Noida,26,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',40.35
Gurgaon,38,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',21.68
Noida,40,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',71.23
Faridabad,38,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',61.32
New Delhi,21,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',87.25
Gurgaon,40,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',38.59
Noida,22,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',70.79
Gurgaon,28,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',74.57
Noida,25,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',25.15
Delhi,29,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',86.97
Delhi,23,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',44.78
Faridabad,30,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',66.92
Noida,36,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',65.89
Delhi,34,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',38.35
New Delhi,44,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',29.63
Gurgaon,38,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',44.2
New Delhi,42,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',28.11
Gurgaon,38,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',29.57
New Delhi,31,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',67.61
Delhi,40,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',39.62
Delhi,24,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',29.54
Noida,40,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',32.15
New Delhi,41,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',71.38
Faridabad,45,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',70.53
Noida,39,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',33.08
Gurgaon,37,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',54.95
Noida,38,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',49.56
Faridabad,43,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',70.38
Noida,35,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',48.97
Noida,45,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',73.32
Noida,37,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',27.15
New Delhi,32,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',64.78
Delhi,29,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',73.29
Faridabad,38,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',63.68
Gurgaon,42,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',29.58
Delhi,30,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',28.65
Delhi,22,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',39.8
Noida,27,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',31.54
New Delhi,37,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',83.69
Faridabad,34,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',65.87
New Delhi,22,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',32.44
New Delhi,38,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',44.54
New Delhi,26,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',82.81
Delhi,44,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',69.4
Gurgaon,43,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',86.08
Delhi,30,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',66.41
Noida,37,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',39.72
Faridabad,35,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',46.14
Faridabad,45,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',30.14
Gurgaon,21,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',47.63
Gurgaon,23,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',87.19
Faridabad,35,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',59.27
Gurgaon,20,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',88.04
Faridabad,29,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',79.44
Faridabad,38,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',64.38
Gurgaon,29,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',47.03
New Delhi,30,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',48.57
Gurgaon,38,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',70.62
New Delhi,44,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',33.36
Gurgaon,35,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',61.24
Noida,32,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',61.6
Noida,44,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',57.27
Delhi,23,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',76.36
New Delhi,41,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',73.71
Faridabad,23,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',85.71
Faridabad,23,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',26.62
New Delhi,20,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',56.98
Faridabad,44,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',83.89
Gurgaon,20,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',33.88
Noida,26,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',42.22
Gurgaon,42,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',61.35
Delhi,24,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',64.31
New Delhi,42,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',52.76
Gurgaon,31,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',76.98
New Delhi,20,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',57.88
Gurgaon,29,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',53.72
Faridabad,24,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',60.94
Faridabad,44,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',50.02
Faridabad,39,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',82.92
Gurgaon,30,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',66.94
New Delhi,25,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',62.06
Faridabad,33,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',33.93
Faridabad,39,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',45.42
Delhi,36,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',75.2
Noida,30,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',87.12
Faridabad,30,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',38.47
Delhi,27,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',35.74
Gurgaon,44,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',68.63
Delhi,32,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',40.57
Noida,22,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',84.64
Delhi,28,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',59.67
Noida,39,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',35.94
Faridabad,34,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',61.85
Faridabad,29,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',86.66
New Delhi,29,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',45.37
Delhi,38,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',82.56
Noida,28,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',50.84
Delhi,35,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',42.34
Delhi,27,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',54.57
New Delhi,43,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',37.7
Gurgaon,35,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',47.16
Noida,28,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',50.85
Delhi,23,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',58.84
Faridabad,39,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',68.34
Delhi,33,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',44.22
Delhi,30,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',38.12
Faridabad,38,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',89.41
Faridabad,26,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',25.58
Gurgaon,24,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',83.67
Faridabad,41,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',35.87
New Delhi,38,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',22.57
Faridabad,34,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',49.91
Gurgaon,32,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',24.73
Gurgaon,21,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',74.87
New Delhi,22,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',44.71
Delhi,34,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',24.45
Faridabad,28,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',41.36
Faridabad,39,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',58.67
New Delhi,25,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',87.99
Gurgaon,31,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',83.7
Faridabad,37,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',37.29
Noida,22,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',42.69
Faridabad,38,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',80.54
Faridabad,42,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',66.29
Faridabad,34,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',43.12
New Delhi,29,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',28.7
Noida,35,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',31.22
Delhi,38,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',60.06
Gurgaon,45,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',49.19
Delhi,41,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',63.75
Noida,43,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',35.13
Delhi,44,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',57.31
Gurgaon,42,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',67.68
Noida,36,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',86.94
Delhi,28,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',88.61
Gurgaon,37,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',43.19
Gurgaon,22,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',37.89
New Delhi,32,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',68.21
New Delhi,37,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',83.13
Gurgaon,27,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',38.99
Gurgaon,21,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',78.35
Delhi,34,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',79.07
Faridabad,31,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',69.03
Noida,36,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',58.46
Delhi,21,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',71.69
Gurgaon,27,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',53.13
Noida,40,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',64.44
Noida,45,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',49.24
Gurgaon,31,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',66.42
Noida,41,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',35.48
Gurgaon,26,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',81.61
Delhi,36,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',22.81
Delhi,33,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',68.59
New Delhi,45,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',39.06
Faridabad,32,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',33.06
Noida,21,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',68.16
Faridabad,43,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',39.94
Gurgaon,39,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',66.37
Noida,33,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',36.28
Faridabad,28,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',53.24
New Delhi,38,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',25.3
Faridabad,38,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',49.62
Noida,20,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',57.53
Faridabad,31,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',46.38
Faridabad,37,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',60.92
Noida,21,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',31.59
Faridabad,34,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',85.68
New Delhi,31,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',51.6
Noida,31,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',51.01
Delhi,36,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',33.92
Delhi,26,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',86.59
Delhi,32,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',70.82
Noida,44,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',70.88
Faridabad,36,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',79.21
Delhi,30,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',40.75
Faridabad,29,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',45.76
Faridabad,39,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',66.32
Noida,28,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',81.78
Delhi,29,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',49.55
New Delhi,27,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',83.84
Delhi,36,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',88.16
New Delhi,40,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',70.3
Noida,25,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',69.89
Noida,32,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',44.8
Faridabad,29,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',56.54
Delhi,31,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',30.69
New Delhi,39,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',86.75
Delhi,31,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',77.36
Delhi,26,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',55.59
Gurgaon,39,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',55.69
Gurgaon,33,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',20.62
Noida,24,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',63.67
Delhi,23,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',88.92
Faridabad,45,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',40.95
Delhi,36,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',23.1
Gurgaon,23,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',32.63
Delhi,36,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',52.0
New Delhi,35,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',38.54
Delhi,45,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',31.43
Noida,41,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',39.01
Faridabad,27,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',79.97
Gurgaon,41,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',26.4
New Delhi,34,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',42.51
Delhi,40,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',65.46
Gurgaon,22,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',59.23
Noida,29,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',64.48
Noida,38,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',22.76
New Delhi,25,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',56.98
Delhi,31,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',27.22
New Delhi,44,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',24.04
Gurgaon,34,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',65.55
New Delhi,43,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',29.71
Delhi,38,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',20.48
New Delhi,23,Syntax error in formula '__legacy_if(this > min_tmp) then min + 5',74.78
